"כותרת נקייה","מזהה","כותרת נוכחית","סוג","קישור","הערה","החלטה"
"אהבת חינם","129","אהבת חינם (מאמר)","מאמר","https://avinerpedia.vercel.app/content/129","סוגים שונים",""
"בחירת בן זוג","954","בחירת בן זוג (מאמר)","מאמר","https://avinerpedia.vercel.app/content/954","סוגים שונים",""
"בחירת בן זוג","953","בחירת בן זוג","וידאו","https://avinerpedia.vercel.app/content/953","סוגים שונים",""
"דרך ארץ קדמה לתורה","1609","דרך ארץ קדמה לתורה (מאמר)","מאמר","https://avinerpedia.vercel.app/content/1609","סוגים שונים",""
"דרך ארץ קדמה לתורה","1608","דרך ארץ קדמה לתורה","וידאו","https://avinerpedia.vercel.app/content/1608","סוגים שונים",""
"שמחה של תורה","7358","שמחה של תורה","וידאו","https://avinerpedia.vercel.app/content/7358","סוגים שונים",""
"שמחה של תורה","7359","שמחה של תורה (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7359","סוגים שונים",""
"ל""ג בעומר במירון?","3790","ל""ג בעומר במירון? (מאמר)","מאמר","https://avinerpedia.vercel.app/content/3790","סוגים שונים",""
"ל""ג בעומר במירון?","3789","ל""ג בעומר במירון?","וידאו","https://avinerpedia.vercel.app/content/3789","סוגים שונים",""
"תענית אסתר","7668","תענית אסתר (וידאו)","וידאו","https://avinerpedia.vercel.app/content/7668","סוגים שונים",""
"תענית אסתר","7669","תענית אסתר (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7669","סוגים שונים",""
"יום העצמאות","3253","יום העצמאות (וידאו)","וידאו","https://avinerpedia.vercel.app/content/3253","סוגים שונים",""
"יום העצמאות","3254","יום העצמאות (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/3254","סוגים שונים",""
"מלחמת היצר","4612","מלחמת היצר (וידאו)","וידאו","https://avinerpedia.vercel.app/content/4612","סוגים שונים",""
"מלחמת היצר","4613","מלחמת היצר (מאמר)","מאמר","https://avinerpedia.vercel.app/content/4613","סוגים שונים",""
"שמירת הברית","7391","שמירת הברית","וידאו","https://avinerpedia.vercel.app/content/7391","אותו סוג, תוכן שונה",""
"שמירת הברית","7390","שמירת הברית(וידאו)","וידאו","https://avinerpedia.vercel.app/content/7390","אותו סוג, תוכן שונה",""
"שניים מקרא ואחד תרגום","7456","שניים מקרא ואחד תרגום (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7456","סוגים שונים",""
"שניים מקרא ואחד תרגום","7455","שניים מקרא ואחד תרגום","וידאו","https://avinerpedia.vercel.app/content/7455","סוגים שונים",""
"תג מחיר","7507","תג מחיר","מאמר","https://avinerpedia.vercel.app/content/7507","אותו סוג, תוכן שונה",""
"תג מחיר","7508","תג מחיר (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7508","אותו סוג, תוכן שונה",""
"תנ""ך מתוך אמונה","7658","תנ""ך מתוך אמונה (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7658","אותו סוג, תוכן שונה",""
"תנ""ך מתוך אמונה","7657","תנ""ך מתוך אמונה","מאמר","https://avinerpedia.vercel.app/content/7657","אותו סוג, תוכן שונה",""
"תענית דיבור","7673","תענית דיבור (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7673","סוגים שונים",""
"תענית דיבור","7672","תענית דיבור","מאמר","https://avinerpedia.vercel.app/content/7672","סוגים שונים",""
"תרומת איברים לאחר המוות","7814","תרומת איברים לאחר המוות (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7814","סוגים שונים",""
"תרומת איברים לאחר המוות","7813","תרומת איברים לאחר המוות (וידאו)","וידאו","https://avinerpedia.vercel.app/content/7813","סוגים שונים",""
"הלכות ספירת העומר","2153","הלכות ספירת העומר (מאמר)","מאמר","https://avinerpedia.vercel.app/content/2153","סוגים שונים",""
"הלכות ספירת העומר","2154","הלכות ספירת העומר (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/2154","סוגים שונים",""
"לשון הרע בתקופת בחירות","4182","לשון הרע בתקופת בחירות (מאמר)","מאמר","https://avinerpedia.vercel.app/content/4182","סוגים שונים",""
"לשון הרע בתקופת בחירות","4181","לשון הרע בתקופת בחירות","וידאו","https://avinerpedia.vercel.app/content/4181","סוגים שונים",""
"שו""ת חתונה","7018","שו""ת חתונה (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7018","סוגים שונים",""
"שו""ת חתונה","7017","שו""ת חתונה","שו""ת","https://avinerpedia.vercel.app/content/7017","סוגים שונים",""
"תנ""ך בגובה העיניים","7652","תנ""ך בגובה העיניים (מאמר)","מאמר","https://avinerpedia.vercel.app/content/7652","סוגים שונים",""
"תנ""ך בגובה העיניים","7653","תנ""ך בגובה העיניים (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/7653","סוגים שונים",""
"לימוד תורה","3916","לימוד תורה","מאמר","https://avinerpedia.vercel.app/content/3916","סוגים שונים",""
"לימוד תורה","3918","לימוד תורה (וידאו)","וידאו","https://avinerpedia.vercel.app/content/3918","סוגים שונים",""
"לימוד תורה - כיצד?","3923","לימוד תורה - כיצד? (מאמר)","מאמר","https://avinerpedia.vercel.app/content/3923","סוגים שונים",""
"לימוד תורה - כיצד?","3922","לימוד תורה - כיצד?","וידאו","https://avinerpedia.vercel.app/content/3922","סוגים שונים",""
"חברה מעורבת","2835","חברה מעורבת","וידאו","https://avinerpedia.vercel.app/content/2835","אותו סוג, תוכן שונה",""
"חברה מעורבת","2836","חברה מעורבת (וידאו)","וידאו","https://avinerpedia.vercel.app/content/2836","אותו סוג, תוכן שונה",""
"היפה והחיה","2017","היפה והחיה (מאמר)","מאמר","https://avinerpedia.vercel.app/content/2017","אותו סוג, תוכן שונה",""
"היפה והחיה","2016","היפה והחיה","מאמר","https://avinerpedia.vercel.app/content/2016","אותו סוג, תוכן שונה",""
"חשבון נפש","3088","חשבון נפש (מאמר)","מאמר","https://avinerpedia.vercel.app/content/3088","סוגים שונים",""
"חשבון נפש","3087","חשבון נפש (וידאו)","וידאו","https://avinerpedia.vercel.app/content/3087","סוגים שונים",""
"ילד בגן מעורב","3327","ילד בגן מעורב (מאמר)","מאמר","https://avinerpedia.vercel.app/content/3327","סוגים שונים",""
"ילד בגן מעורב","3326","ילד בגן מעורב","וידאו","https://avinerpedia.vercel.app/content/3326","סוגים שונים",""
"סדר נזיקין הוא סדר ישועות","5218","סדר נזיקין הוא סדר ישועות (מאמר)","מאמר","https://avinerpedia.vercel.app/content/5218","סוגים שונים",""
"סדר נזיקין הוא סדר ישועות","5217","סדר נזיקין הוא סדר ישועות","וידאו","https://avinerpedia.vercel.app/content/5217","סוגים שונים",""
"שבועות","6915","שבועות (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/6915","סוגים שונים",""
"שבועות","6914","שבועות (וידאו)","וידאו","https://avinerpedia.vercel.app/content/6914","סוגים שונים",""
"הלכות פורים","2160","הלכות פורים (שו""ת)","שו""ת","https://avinerpedia.vercel.app/content/2160","סוגים שונים",""
"הלכות פורים","2158","הלכות פורים","וידאו","https://avinerpedia.vercel.app/content/2158","סוגים שונים",""
"הלכות פורים","2159","הלכות פורים (וידאו)","וידאו","https://avinerpedia.vercel.app/content/2159","סוגים שונים",""
"גיוס חרדים","1398","גיוס חרדים (וידאו)","וידאו","https://avinerpedia.vercel.app/content/1398","סוגים שונים",""
"גיוס חרדים","1397","גיוס חרדים","שו""ת","https://avinerpedia.vercel.app/content/1397","סוגים שונים",""
"פרשת נשא","6242","פרשת נשא (וידאו)","וידאו","https://avinerpedia.vercel.app/content/6242","אותו סוג, תוכן שונה",""
"פרשת נשא","6240","פרשת נשא(וידאו)","וידאו","https://avinerpedia.vercel.app/content/6240","אותו סוג, תוכן שונה",""
"כיבוד הרב הראשי","3554","כיבוד הרב הראשי (מאמר)","מאמר","https://avinerpedia.vercel.app/content/3554","אותו סוג, תוכן שונה",""
"כיבוד הרב הראשי","3553","כיבוד הרב הראשי","מאמר","https://avinerpedia.vercel.app/content/3553","אותו סוג, תוכן שונה",""
"מצוות תוכחה","4782","מצוות תוכחה(וידאו)","וידאו","https://avinerpedia.vercel.app/content/4782","אותו סוג, תוכן שונה",""
"מצוות תוכחה","4784","מצוות תוכחה (וידאו)","וידאו","https://avinerpedia.vercel.app/content/4784","אותו סוג, תוכן שונה",""
