"נושא-על באתר החדש","נושא באתר הישן","נושא-על באתר הישן","דפים באתר הישן לפי סוג","פריטים פעילים","מה קרה לו","יעד באתר החדש","פריטים ביעד","אוחד יחד עם","הצעה","החלטה","הערה"
"הלכה","ברית מילה","הלכה | זוגיות ומשפחה","שו""ת 3 · ללא סוג 1","3","נשמר בשמו","הלכה › ברית מילה","5","","להשאיר","",""
"הלכה","גיור - הלכה","הלכה","מאמרים 33 · וידאו 8","41","שם שונה","הלכה › גיור","44","","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","דיני ממונות","הלכה","מאמרים 33 · וידאו 30 · ללא סוג 8","70","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה › דיני ממונות","94","הלכות חברה (22)","להשאיר","",""
"הלכה","הלכות חברה","הלכה","וידאו 19 · ללא סוג 3","22","אוחד","הלכה › דיני ממונות","94","דיני ממונות (70)","לפצל לתת-נושא","",""
"הלכה","השכמת הבוקר - הלכה","הלכה","מאמרים 6 · ללא סוג 1","7","אוחד","הלכה › הלכות היום-יום","27","נטילת ידיים (5); סעודה (5); תספורת וגילוח (4); בית הכסא (3); שינה וסדר הלילה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","נטילת ידיים","הלכה","שו""ת 5","5","אוחד","הלכה › הלכות היום-יום","27","השכמת הבוקר - הלכה (7); סעודה (5); תספורת וגילוח (4); בית הכסא (3); שינה וסדר הלילה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","סעודה","הלכה","שו""ת 5","5","אוחד","הלכה › הלכות היום-יום","27","השכמת הבוקר - הלכה (7); נטילת ידיים (5); תספורת וגילוח (4); בית הכסא (3); שינה וסדר הלילה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","תספורת וגילוח","הלכה | יורה דעה","שו""ת 3 · ללא סוג 1","4","אוחד","הלכה › הלכות היום-יום","27","השכמת הבוקר - הלכה (7); נטילת ידיים (5); סעודה (5); בית הכסא (3); שינה וסדר הלילה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","בית הכסא","הלכה","שו""ת 3","3","אוחד","הלכה › הלכות היום-יום","27","השכמת הבוקר - הלכה (7); נטילת ידיים (5); סעודה (5); תספורת וגילוח (4); שינה וסדר הלילה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","שינה וסדר הלילה","הלכה","שו""ת 3","3","אוחד","הלכה › הלכות היום-יום","27","השכמת הבוקר - הלכה (7); נטילת ידיים (5); סעודה (5); תספורת וגילוח (4); בית הכסא (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","הלכות ציבור","הלכה | מדינת ישראל","מאמרים 127 · וידאו 11 · ללא סוג 9","147","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה › הלכות ציבור","171","בית כנסת - הלכה (15); בית כנסת ובית מדרש (7)","להשאיר","",""
"הלכה","בית כנסת - הלכה","הלכה","מאמרים 11 · וידאו 4","15","אוחד","הלכה › הלכות ציבור","171","הלכות ציבור (147); בית כנסת ובית מדרש (7)","לשקול: לפצל או שם נרדף","",""
"הלכה","בית כנסת ובית מדרש","הלכה","שו""ת 7 · ללא סוג 1","7","אוחד","הלכה › הלכות ציבור","171","הלכות ציבור (147); בית כנסת - הלכה (15)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","מקווה- הלכה","הלכה","מאמרים 4","4","אוחד","הלכה › טהרת המשפחה","7","טהרת המשפחה - הלכה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","טהרת המשפחה - הלכה","הלכה","מאמרים 3","3","שם שונה","הלכה › טהרת המשפחה","7","מקווה- הלכה (4)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","כשרות","הלכה","וידאו 21 · שו""ת 14 · ללא סוג 12","46","שם שונה","הלכה › כשרות ומזון","112","כשרות - הלכה (32); יורה דעה - איסור והיתר (24); בשר וחלב (4); כשרות ומזון (4)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","כשרות - הלכה","הלכה","מאמרים 32","32","שם שונה","הלכה › כשרות ומזון","112","כשרות (46); יורה דעה - איסור והיתר (24); בשר וחלב (4); כשרות ומזון (4)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","יורה דעה - איסור והיתר","הלכה","שו""ת 13 · מאמרים 11","24","אוחד","הלכה › כשרות ומזון","112","כשרות (46); כשרות - הלכה (32); בשר וחלב (4); כשרות ומזון (4)","לפצל לתת-נושא","",""
"הלכה","בשר וחלב","הלכה","שו""ת 4","4","אוחד","הלכה › כשרות ומזון","112","כשרות (46); כשרות - הלכה (32); יורה דעה - איסור והיתר (24); כשרות ומזון (4)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","כשרות ומזון","הלכה","שו""ת 4","4","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה › כשרות ומזון","112","כשרות (46); כשרות - הלכה (32); יורה דעה - איסור והיתר (24); בשר וחלב (4)","להשאיר","",""
"הלכה","שונות - הלכה","הלכה","מאמרים 75 · שו""ת 9","84","אוחד","הלכה › מצוות ומנהגים","209","מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","להשאיר מאוחד","",""
"הלכה","מצוות הפרט","הלכה | מוסר ומידות","מאמרים 35 · שו""ת 3","38","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","לפצל לתת-נושא","",""
"הלכה","הלכות שונות","הלכה","וידאו 25 · ללא סוג 5","27","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","להשאיר מאוחד","",""
"הלכה","עניינים שונים","עניינים שונים","שו""ת 18","18","אוחד · עבר לנושא-על אחר","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","להשאיר מאוחד","",""
"הלכה","כללים ועניינים שונים","עניינים שונים","שו""ת 15","15","אוחד · עבר לנושא-על אחר","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","להשאיר מאוחד","",""
"הלכה","ציצית ותפילין - הלכה","הלכה","וידאו 11 · ללא סוג 1","12","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","לשקול: לפצל או שם נרדף","",""
"הלכה","מנהגים","הלכה","וידאו 7 · ללא סוג 4","11","שם שונה","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מקומות קדושים - הלכה (8); תפילין (7); ציצית (6)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","מקומות קדושים - הלכה","הלכה","מאמרים 8","8","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); תפילין (7); ציצית (6)","לשקול: לפצל או שם נרדף","",""
"הלכה","תפילין","הלכה | אורח חיים","שו""ת 7 · ללא סוג 1","7","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); ציצית (6)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","ציצית","אורח חיים | הלכה","שו""ת 7","6","אוחד","הלכה › מצוות ומנהגים","209","שונות - הלכה (84); מצוות הפרט (38); הלכות שונות (27); עניינים שונים (18); כללים ועניינים שונים (15); ציצית ותפילין - הלכה (12); מנהגים (11); מקומות קדושים - הלכה (8); תפילין (7)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","תפילין - הלכה","הלכה | מוסר ומידות","מאמרים 5","5","שם שונה","הלכה › מצוות ומנהגים › הלכות תפילין","5","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"הלכה","נישואין וגירושין - הלכה","הלכה","מאמרים 18","18","אוחד","הלכה › נישואין ואישות","32","שידוכים ונישואים - הלכה (8); אישות ומשפחה - הלכה (6)","לשקול: לפצל או שם נרדף","",""
"הלכה","שידוכים ונישואים - הלכה","הלכה","שו""ת 8","8","אוחד","הלכה › נישואין ואישות","32","נישואין וגירושין - הלכה (18); אישות ומשפחה - הלכה (6)","לשקול: לפצל או שם נרדף","",""
"הלכה","אישות ומשפחה - הלכה","הלכה | זוגיות ומשפחה","שו""ת 7","6","אוחד","הלכה › נישואין ואישות","32","נישואין וגירושין - הלכה (18); שידוכים ונישואים - הלכה (8)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","פסיקת הלכה","תורה | הלכה","מאמרים 32 · וידאו 25 · שו""ת 5","62","נשמר בשמו","הלכה › פסיקת הלכה","62","","להשאיר","",""
"הלכה","צדקה - הלכה","הלכה","מאמרים 15","15","שם שונה","הלכה › צדקה","19","צדקה (4)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","צדקה","הלכה | מוסר ומידות","שו""ת 4","4","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה › צדקה","19","צדקה - הלכה (15)","להשאיר","",""
"הלכה","צניעות","הלכה | מוסר ומידות","מאמרים 107 · ללא סוג 29 · וידאו 24 · שו""ת 15","174","נשמר בשמו (צורפו אליו נושאים נוספים)","הלכה › צניעות","184","בגדים (6)","להשאיר","",""
"הלכה","בגדים","הלכה","שו""ת 6 · ללא סוג 1","6","אוחד","הלכה › צניעות","184","צניעות (174)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","בריאות","מוסר ומידות","מאמרים 69","69","אוחד · עבר לנושא-על אחר","הלכה › רפואה ופיקוח נפש","146","טיפול רפואי (29); הצלת נפשות - הלכה (24); זהירות (21); פיקוח נפש (13); ונשמרתם לנפשותיכם (3)","לפצל לתת-נושא","",""
"הלכה","טיפול רפואי","הלכה","מאמרים 21 · שו""ת 8","29","אוחד","הלכה › רפואה ופיקוח נפש","146","בריאות (69); הצלת נפשות - הלכה (24); זהירות (21); פיקוח נפש (13); ונשמרתם לנפשותיכם (3)","לפצל לתת-נושא","",""
"הלכה","הצלת נפשות - הלכה","הלכה","מאמרים 24","24","אוחד","הלכה › רפואה ופיקוח נפש","146","בריאות (69); טיפול רפואי (29); זהירות (21); פיקוח נפש (13); ונשמרתם לנפשותיכם (3)","לפצל לתת-נושא","",""
"הלכה","זהירות","הלכה","מאמרים 21","21","אוחד","הלכה › רפואה ופיקוח נפש","146","בריאות (69); טיפול רפואי (29); הצלת נפשות - הלכה (24); פיקוח נפש (13); ונשמרתם לנפשותיכם (3)","לפצל לתת-נושא","",""
"הלכה","פיקוח נפש","הלכה","וידאו 11 · ללא סוג 2","13","שם שונה","הלכה › רפואה ופיקוח נפש","146","בריאות (69); טיפול רפואי (29); הצלת נפשות - הלכה (24); זהירות (21); ונשמרתם לנפשותיכם (3)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","ונשמרתם לנפשותיכם","הלכה","שו""ת 3","3","אוחד","הלכה › רפואה ופיקוח נפש","146","בריאות (69); טיפול רפואי (29); הצלת נפשות - הלכה (24); זהירות (21); פיקוח נפש (13)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"הלכה","שבת - הלכה","הלכה","מאמרים 38 · שו""ת 25","63","שם שונה","הלכה › שבת","126","שבת ויום טוב (47); שבת (11)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","שבת ויום טוב","הלכה | מועדים","וידאו 31 · ללא סוג 16","47","שם שונה","הלכה › שבת","126","שבת - הלכה (63); שבת (11)","להשאיר (שם נרדף בחיפוש)","",""
"הלכה","שבת","מועדים","מאמרים 9 · שו""ת 2","11","נשמר בשמו (צורפו אליו נושאים נוספים) · עבר לנושא-על אחר","הלכה › שבת","126","שבת - הלכה (63); שבת ויום טוב (47)","להשאיר","",""
"חגים ומועדים","מועדים","מועדים","וידאו 17","18","שם שונה","חגים ומועדים","646","סיון תשע""ב (7); אייר תשע""ב (4); תמוז תשע""ב (4)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","סיון תשע""ב","מועדים","ללא סוג 7","7","קופל לנושא-העל (אין לו תת-נושא)","חגים ומועדים","646","מועדים (18); אייר תשע""ב (4); תמוז תשע""ב (4)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"חגים ומועדים","אייר תשע""ב","מועדים","ללא סוג 4","4","קופל לנושא-העל (אין לו תת-נושא)","חגים ומועדים","646","מועדים (18); סיון תשע""ב (7); תמוז תשע""ב (4)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"חגים ומועדים","תמוז תשע""ב","מועדים","ללא סוג 4","4","קופל לנושא-העל (אין לו תת-נושא)","חגים ומועדים","646","מועדים (18); סיון תשע""ב (7); אייר תשע""ב (4)","להשאיר מקופל","","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה"
"חגים ומועדים","בין המצרים","מועדים | הלכה","ללא סוג 10 · וידאו 7 · מאמרים 3","20","שם שונה","חגים ומועדים › בין המצרים ותעניות","63","תשעה באב (15); עשרה בטבת (7); תעניות ובין המצרים (7); י""ז בתמוז (6); צומות ותעניות (5)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","תשעה באב","מועדים | הלכה","ללא סוג 7 · וידאו 5 · מאמרים 4","15","אוחד","חגים ומועדים › בין המצרים ותעניות","63","בין המצרים (20); עשרה בטבת (7); תעניות ובין המצרים (7); י""ז בתמוז (6); צומות ותעניות (5)","לשקול: לפצל או שם נרדף","",""
"חגים ומועדים","עשרה בטבת","מועדים | הלכה","וידאו 4 · ללא סוג 2 · שו""ת 1","7","אוחד","חגים ומועדים › בין המצרים ותעניות","63","בין המצרים (20); תשעה באב (15); תעניות ובין המצרים (7); י""ז בתמוז (6); צומות ותעניות (5)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","תעניות ובין המצרים","הלכה","שו""ת 7","7","אוחד · עבר לנושא-על אחר","חגים ומועדים › בין המצרים ותעניות","63","בין המצרים (20); תשעה באב (15); עשרה בטבת (7); י""ז בתמוז (6); צומות ותעניות (5)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","י""ז בתמוז","מועדים","ללא סוג 5 · וידאו 1","6","אוחד","חגים ומועדים › בין המצרים ותעניות","63","בין המצרים (20); תשעה באב (15); עשרה בטבת (7); תעניות ובין המצרים (7); צומות ותעניות (5)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","צומות ותעניות","מועדים","מאמרים 5","5","אוחד","חגים ומועדים › בין המצרים ותעניות","63","בין המצרים (20); תשעה באב (15); עשרה בטבת (7); תעניות ובין המצרים (7); י""ז בתמוז (6)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","בין המצרים - הלכה","הלכה","וידאו 3 · ללא סוג 1","4","שם שונה · עבר לנושא-על אחר","חגים ומועדים › בין המצרים ותעניות › הלכות בין המצרים","4","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","צומות ותעניות - הלכה","הלכה","מאמרים 8","8","שם שונה · עבר לנושא-על אחר","חגים ומועדים › בין המצרים ותעניות › הלכות צומות ותעניות","8","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","חנוכה","מועדים | הלכה","וידאו 18 · מאמרים 17 · ללא סוג 13","46","נשמר בשמו","חגים ומועדים › חנוכה","80","","להשאיר","",""
"חגים ומועדים","חנוכה - הלכה","הלכה","מאמרים 16 · שו""ת 6 · וידאו 3","25","שם שונה · עבר לנושא-על אחר","חגים ומועדים › חנוכה › הלכות חנוכה","25","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","ט""ו בשבט","מועדים | הלכה","ללא סוג 4 · וידאו 4 · מאמרים 2 · שו""ת 1","10","נשמר בשמו","חגים ומועדים › ט""ו בשבט","12","","להשאיר","",""
"חגים ומועדים","ט""ו בשבט - הלכה","הלכה","מאמרים 2 · שו""ת 1","3","שם שונה · עבר לנושא-על אחר","חגים ומועדים › ט""ו בשבט › הלכות ט""ו בשבט","3","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","יום העצמאות","מועדים | הלכה","ללא סוג 10 · מאמרים 6 · וידאו 5 · שו""ת 1","21","שם שונה","חגים ומועדים › יום העצמאות ויום ירושלים","36","יום ירושלים (12)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","יום ירושלים","מועדים | הלכה","ללא סוג 6 · מאמרים 5 · וידאו 2 · שו""ת 1","12","שם שונה","חגים ומועדים › יום העצמאות ויום ירושלים","36","יום העצמאות (21)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","יום העצמאות- הלכה","הלכה","מאמרים 3","3","שם שונה · עבר לנושא-על אחר","חגים ומועדים › יום העצמאות ויום ירושלים › הלכות יום העצמאות","5","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","ימי זיכרון","מועדים | הלכה","וידאו 3 · ללא סוג 1","4","שם שונה","חגים ומועדים › ימי זיכרון ושואה","12","ימי הזיכרון (4)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","ימי הזיכרון","מדינת ישראל | אמונה | מועדים","מאמרים 4","4","שם שונה","חגים ומועדים › ימי זיכרון ושואה","12","ימי זיכרון (4)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","יום כיפור","מועדים | הלכה","ללא סוג 15 · מאמרים 9 · וידאו 4","27","אוחד","חגים ומועדים › ימים נוראים","66","ראש השנה (22); סליחות (5); חודש אלול (3)","לפצל לתת-נושא","",""
"חגים ומועדים","ראש השנה","מועדים | הלכה","ללא סוג 15 · וידאו 3 · שו""ת 2 · מאמרים 2","22","אוחד","חגים ומועדים › ימים נוראים","66","יום כיפור (27); סליחות (5); חודש אלול (3)","לפצל לתת-נושא","",""
"חגים ומועדים","סליחות","מועדים | הלכה","ללא סוג 3 · וידאו 2","5","אוחד","חגים ומועדים › ימים נוראים","66","יום כיפור (27); ראש השנה (22); חודש אלול (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","חודש אלול","הלכה","שו""ת 3","3","אוחד · עבר לנושא-על אחר","חגים ומועדים › ימים נוראים","66","יום כיפור (27); ראש השנה (22); סליחות (5)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","יום כיפור - הלכה","הלכה","וידאו 3 · מאמרים 3","6","שם שונה · עבר לנושא-על אחר","חגים ומועדים › ימים נוראים › הלכות יום כיפור","6","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","ראש השנה - הלכה","הלכה","מאמרים 8 · שו""ת 2","10","שם שונה · עבר לנושא-על אחר","חגים ומועדים › ימים נוראים › הלכות ראש השנה","10","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","ל""ג בעומר","מועדים | הלכה","ללא סוג 10 · וידאו 9 · מאמרים 6","25","נשמר בשמו","חגים ומועדים › ל""ג בעומר","30","","להשאיר","",""
"חגים ומועדים","ל""ג בעומר - הלכה","הלכה","מאמרים 5 · שו""ת 1","5","שם שונה · עבר לנושא-על אחר","חגים ומועדים › ל""ג בעומר › הלכות ל""ג בעומר","5","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","סוכות","מועדים","מאמרים 12 · ללא סוג 6 · שו""ת 2","18","שם שונה","חגים ומועדים › סוכות ושמחת תורה","49","חול המועד (5); שמיני עצרת - שמחת תורה (3)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","חול המועד","מועדים | הלכה","ללא סוג 2 · וידאו 2 · מאמרים 1 · שו""ת 1","5","אוחד","חגים ומועדים › סוכות ושמחת תורה","49","סוכות (18); שמיני עצרת - שמחת תורה (3)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","שמיני עצרת - שמחת תורה","מועדים","מאמרים 3","3","אוחד","חגים ומועדים › סוכות ושמחת תורה","49","סוכות (18); חול המועד (5)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","סוכות - הלכה","הלכה","מאמרים 15 · שו""ת 4 · וידאו 2 · ללא סוג 1","22","שם שונה · עבר לנושא-על אחר","חגים ומועדים › סוכות ושמחת תורה › הלכות סוכות","22","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","פורים","מועדים | הלכה","מאמרים 14 · ללא סוג 13 · וידאו 13 · שו""ת 2","41","נשמר בשמו (צורפו אליו נושאים נוספים)","חגים ומועדים › פורים","67","חודש אדר (3)","להשאיר","",""
"חגים ומועדים","חודש אדר","הלכה","שו""ת 3 · ללא סוג 1","3","אוחד · עבר לנושא-על אחר","חגים ומועדים › פורים","67","פורים (41)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","פורים - הלכה","הלכה","מאמרים 20 · שו""ת 5","25","שם שונה · עבר לנושא-על אחר","חגים ומועדים › פורים › הלכות פורים","25","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","פסח","מועדים | הלכה","ללא סוג 42 · וידאו 21 · מאמרים 19 · שו""ת 1","81","שם שונה","חגים ומועדים › פסח וספירת העומר","160","ספירת העומר (16); שובבי""ם (3)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","ספירת העומר","מועדים | הלכה","ללא סוג 12 · וידאו 3 · שו""ת 1 · מאמרים 1","16","שם שונה","חגים ומועדים › פסח וספירת העומר","160","פסח (81); שובבי""ם (3)","להשאיר (שם נרדף בחיפוש)","",""
"חגים ומועדים","שובבי""ם","מועדים | הלכה | אמונה","וידאו 2 · ללא סוג 1","3","אוחד","חגים ומועדים › פסח וספירת העומר","160","פסח (81); ספירת העומר (16)","להשאיר מאוחד (שם נרדף בחיפוש)","",""
"חגים ומועדים","ספירת העומר - הלכה","הלכה","שו""ת 6 · מאמרים 6 · וידאו 1","13","שם שונה · עבר לנושא-על אחר","חגים ומועדים › פסח וספירת העומר › הלכות ספירת העומר","13","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","פסח - הלכה","הלכה","מאמרים 34 · שו""ת 9","43","שם שונה · עבר לנושא-על אחר","חגים ומועדים › פסח וספירת העומר › הלכות פסח","43","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","שבועות","מועדים | הלכה","וידאו 7 · ללא סוג 7 · מאמרים 2 · שו""ת 2","17","נשמר בשמו","חגים ומועדים › שבועות","20","","להשאיר","",""
"חגים ומועדים","שבועות - הלכה","הלכה","מאמרים 3 · שו""ת 2","5","שם שונה · עבר לנושא-על אחר","חגים ומועדים › שבועות › הלכות שבועות","5","","להשאיר (שם נרדף בחיפוש)","","רמה שלישית: הלכות"
"חגים ומועדים","שמיטה","מועדים | הלכה","מאמרים 11 · שו""ת 3 · ללא סוג 1","14","נשמר בשמו","חגים ומועדים › שמיטה","38","","להשאיר","",""
