"נושא מקור","פריטים","סיווג","יעד בעץ החדש","הערה","הורים במקור"
"יציאה לחו""ל","15","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","הלכה"
"צדקה - הלכה","15","נושא סינון","הלכה › צדקה","","הלכה"
"אישות","15","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות"
"כללים ועניינים שונים","15","נושא סינון","הלכה › מצוות ומנהגים","","עניינים שונים"
"לימוד אמונה","14","נושא סינון","אמונה › שאלות באמונה","","אמונה"
"חומש בראשית","14","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית","","תורה | עניינים שונים | שיעורים בתנ""ך"
"אבלות - הלכות","14","נושא סינון","הלכה › אבלות › הלכות אבלות","רמה שלישית: הלכות","הלכה"
"שמיטה","14","נושא סינון","חגים ומועדים › שמיטה","","מועדים | הלכה"
"חומש שמות","14","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות","","תורה | שיעורים בתנ""ך"
"פיקוח נפש","13","נושא סינון","הלכה › רפואה ופיקוח נפש","","הלכה"
"יום ירושלים","13","נושא סינון","חגים ומועדים › יום העצמאות ויום ירושלים","","מועדים | חגים - הלכה"
"העולם הנסתר","13","נושא סינון","תורה ולימוד › קבלה וחסידות","","אמונה"
"כיבוד הורים","13","נושא סינון","זוגיות ומשפחה › הורים וילדים","","הלכה | מוסר ומידות"
"מידת הביטחון","13","נושא סינון","מוסר ומידות › ביטחון","","מוסר ומידות"
"שירים","13","אוסף/מכל","מקור: שירים","","מיוחדים"
"ספירת העומר - הלכה","13","נושא סינון","חגים ומועדים › פסח וספירת העומר › הלכות ספירת העומר","רמה שלישית: הלכות","מעגל השנה | מעגל השנה - הלכה | חגים - הלכה"
"ציצית ותפילין - הלכה","12","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"קושיות והוכחות","12","נושא סינון","אמונה › שאלות באמונה","","אמונה | תורה"
"Le couple et la famille","12","אוסף/מכל","Cours en Français (/french)","",""
"חינוך במקורות","12","נושא סינון","חינוך › חינוך לתורה ומצוות","","חינוך"
"מיוחדים","12","אוסף/מכל","מכל מפורק (ילדיו מופו לנושאי הליבה)","",""
"חתונה","12","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","","זוגיות ומשפחה | חתונה-מיוחדים"
"שיעורים בתנ""ך","11","נושא סינון","תורה ולימוד › תנ""ך","","תורה"
"מנהגים","11","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"מוסריות בעבודה","11","נושא סינון","מוסר ומידות › מוסר חברתי","","מוסר ומידות"
"הריון ולידה","11","נושא סינון","זוגיות ומשפחה › הריון ולידה","","זוגיות ומשפחה | חיי משפחה"
"שבת","11","נושא סינון","הלכה › שבת","","מועדים"
"מוסר ומידות","11","נושא סינון","מוסר ומידות","",""
"ט""ו בשבט","10","נושא סינון","חגים ומועדים › ט""ו בשבט","","מועדים | חגים - הלכה"
"גויים ביהדות","10","נושא סינון","אמונה › דתות ועמים","","אמונה"
"חתונה - חופה וקידושין","10","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","","זוגיות ומשפחה"
"ראש השנה - הלכה","10","נושא סינון","חגים ומועדים › ימים נוראים › הלכות ראש השנה","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"חומש דברים","10","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים","","תורה | שיעורים בתנ""ך"
"לימודים","9","נושא סינון","חינוך › מוסדות חינוך ולימודים","","חינוך"
"זהירות בדרכים","9","נושא סינון","מוסר ומידות › מוסר בחיי הפרט","","עבודת המידות | הלכה | הלכות שונות"
"מוסר ביהדות","9","נושא סינון","מוסר ומידות › מוסר בחיי הפרט","","מוסר ומידות"
"הלכות חגים לחייל","9","נושא סינון","מדינת ישראל וצה""ל › צה""ל וביטחון","","הלכה | מועדים | מעגל השנה | צה""ל"
"לימוד תורה- הלכות","9","נושא סינון","תורה ולימוד › לימוד תורה › הלכות לימוד תורה","רמה שלישית: הלכות","הלכה"
"שידוכים ונישואים - הלכה","8","נושא סינון","הלכה › נישואין ואישות","","הלכה"
"פרשת תרומה","8","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › תרומה","","חומש שמות"
"צניעות - משפחה","8","נושא סינון","זוגיות ומשפחה › חיי זוגיות","","זוגיות ומשפחה"
"צומות ותעניות - הלכה","8","נושא סינון","חגים ומועדים › בין המצרים ותעניות › הלכות צומות ותעניות","רמה שלישית: הלכות","מעגל השנה - הלכה"
"תפילין","8","נושא סינון","הלכה › מצוות ומנהגים","","ציצית ותפילין | אורח חיים"
"בית כנסת ובית מדרש","8","נושא סינון","הלכה › הלכות ציבור","","הלכה"
"הר הבית ובית המקדש","8","נושא סינון","מדינת ישראל וצה""ל › הר הבית ובית המקדש","","מדינת ישראל | אורח חיים"
"שמחה","8","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"מקומות קדושים - הלכה","8","נושא סינון","הלכה › מצוות ומנהגים","","הלכה"
"שאלות ותשובות","7","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","שו""ת"
"עשרה בטבת","7","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים | חגים - הלכה"
"סיון תשע""ב","7","מקופל (מועמד לתת-נושא)","חגים ומועדים","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","מועדים"
"השכמת הבוקר - הלכה","7","נושא סינון","הלכה › הלכות היום-יום","","הלכה"
"שאלות כלליות - תורה","7","נושא סינון","תורה ולימוד › לימוד תורה","","תורה"
"השפעת התורה","7","נושא סינון","תורה ולימוד › לימוד תורה","","תורה"
"שידוכים","7","נושא סינון","זוגיות ומשפחה › שידוכים וחתונה","","זוגיות ומשפחה"
"בגדים","7","נושא סינון","הלכה › צניעות","","אורח חיים - הלכות יום-יום"
"ציצית","7","נושא סינון","הלכה › מצוות ומנהגים","","אורח חיים | ציצית ותפילין"
"תעניות ובין המצרים","7","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מעגל השנה"
"אישות ומשפחה - הלכה","7","נושא סינון","הלכה › נישואין ואישות","","הלכה | זוגיות ומשפחה"
"קריאת שמות","7","נושא סינון","זוגיות ומשפחה › הריון ולידה","","הריון ולידה | שונות - הלכה"
"תנועות חברתיות","7","נושא סינון","אקטואליה ותרבות › תנועות חברתיות","","הלכה | חינוך | עם ישראל"
"י""ז בתמוז","6","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים"
"יום כיפור - הלכה","6","נושא סינון","חגים ומועדים › ימים נוראים › הלכות יום כיפור","רמה שלישית: הלכות","מעגל השנה - הלכה | הלכה | חגים - הלכה"
"עבודה זרה","6","נושא סינון","אמונה › דתות ועמים","","הלכה | אמונה"
"פרשת לך-לך","6","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › לך לך","","חומש בראשית"
"הרב נחמיה לביא זצ""ל","6","נושא סינון","אישים › רבנים ואישים","","אישים"
"פרשת שלח","6","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › שלח","","חומש במדבר"
"פרשת ויקרא","6","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › ויקרא","","חומש ויקרא"
"הוראה","6","נושא סינון","חינוך › מוסדות חינוך ולימודים","","חינוך"
"יום טוב - הלכה","6","מקופל (מועמד לתת-נושא)","הלכה","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","הלכה"
"אבילות","6","נושא סינון","הלכה › אבלות","","הלכה"
"השפעת המצוות","5","נושא סינון","אמונה › עבודת ה'","","הלכה | אמונה"
"מוסר בחיי הפרט","5","נושא סינון","מוסר ומידות › מוסר בחיי הפרט","","מוסר ומידות | מוסר ביהדות"
"סליחות","5","נושא סינון","חגים ומועדים › ימים נוראים","","מועדים | חגים - הלכה"
"חינוך לתורה ומצוות","5","נושא סינון","חינוך › חינוך לתורה ומצוות","","חינוך"
"חול המועד","5","נושא סינון","חגים ומועדים › סוכות ושמחת תורה","","מועדים | מעגל השנה | חגים - הלכה"
"פרשת וירא","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › וירא","","חומש בראשית"
"פרשת האזינו","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › האזינו","","חומש דברים"
"פרשת כי תבוא","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › כי תבוא","","חומש דברים"
"תפילין - הלכה","5","נושא סינון","הלכה › מצוות ומנהגים › הלכות תפילין","רמה שלישית: הלכות","מצוות הפרט"
"פרשת כי תצא","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › כי תצא","","חומש דברים"
"פרשת שופטים","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › שופטים","","חומש דברים"
"פרשת ראה","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › ראה","","חומש דברים"
"פרשת עקב","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › עקב","","חומש דברים"
"פרשת ואתחנן","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › ואתחנן","","חומש דברים"
"פרשת פנחס","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › פנחס","","חומש במדבר"
"פרשת נשא","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › נשא","","חומש במדבר"
"ל""ג בעומר - הלכה","5","נושא סינון","חגים ומועדים › ל""ג בעומר › הלכות ל""ג בעומר","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"פרשת צו","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › צו","","חומש ויקרא"
"צומות ותעניות","5","נושא סינון","חגים ומועדים › בין המצרים ותעניות","","מועדים"
"פרשת ויגש","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › ויגש","","חומש בראשית"
"פרשת וישב","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › וישב","","חומש בראשית"
"פרשת וישלח","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › וישלח","","חומש בראשית"
"פרשת ויצא","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › ויצא","","חומש בראשית"
"פרשת תולדות","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › תולדות","","חומש בראשית"
"פרשת נח","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › נח","","חומש בראשית"
"גאווה","5","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"שבועות - הלכה","5","נושא סינון","חגים ומועדים › שבועות › הלכות שבועות","רמה שלישית: הלכות","מעגל השנה - הלכה | מעגל השנה"
"חומש במדבר","5","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר","","תורה"
"נטילת ידיים","5","נושא סינון","הלכה › הלכות היום-יום","","אורח חיים - הלכות יום-יום"
"תפילת שמונה עשרה","5","נושא סינון","תפילה › הלכות תפילה","","תפילה"
"ברכת כהנים","5","נושא סינון","תפילה › הלכות תפילה","","תפילה"
"קריאת התורה","5","נושא סינון","תפילה › הלכות תפילה","","תפילה"
"סעודה","5","נושא סינון","הלכה › הלכות היום-יום","","אורח חיים - הלכות יום-יום | כשרות ומזון"
"ספרים שונים","5","נושא סינון","תורה ולימוד › ספרים","","תורה"
"הכרת הטוב","5","נושא סינון","מוסר ומידות › מוסר חברתי","","מוסר ומידות"
"דאגה לזולת- מידות","5","נושא סינון","מוסר ומידות › מידות","","מוסר ומידות"
"קבלה","5","נושא סינון","תורה ולימוד › קבלה וחסידות","","אמונה"
"אייר תשע""ב","4","מקופל (מועמד לתת-נושא)","חגים ומועדים","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","מועדים"
"תמוז תשע""ב","4","מקופל (מועמד לתת-נושא)","חגים ומועדים","תת-נושא אפשרי (לא ברשימה המאוצרת) - כרגע מקופל להורה","מועדים"
"בין המצרים - הלכה","4","נושא סינון","חגים ומועדים › בין המצרים ותעניות › הלכות בין המצרים","רמה שלישית: הלכות","חגים - הלכה | הלכה"
"La Paracha de la semaine","4","אוסף/מכל","Cours en Français (/french)","",""
"ימי זיכרון","4","נושא סינון","חגים ומועדים › ימי זיכרון ושואה","","מועדים | חגים - הלכה"
"פרשת חיי שרה","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › בראשית › חיי שרה","","חומש בראשית"
"פרשת ניצבים","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › נצבים","","חומש דברים"
"תורת רבי נחמן","4","נושא סינון","תורה ולימוד › קבלה וחסידות","","אמונה"
"פרשת דברים","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › דברים › דברים","","חומש דברים"
"פרשת מטות","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › מטות","","חומש במדבר"
"פרשת בלק","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › בלק","","חומש במדבר"
"פרשת חוקת","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › חוקת","","חומש במדבר"
"פרשת בהעלותך","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › בהעלותך","","חומש במדבר"
"פרשת במדבר","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › במדבר › במדבר","","חומש במדבר"
"פרשת בחוקותי","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › בחוקותי","","חומש ויקרא"
"ימי הזיכרון","4","נושא סינון","חגים ומועדים › ימי זיכרון ושואה","","המדינה אתחלתא דגאולה | מועדים"
"פרשת תזריע","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › ויקרא › תזריע","","חומש ויקרא"
"פרשת ויקהל","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › ויקהל","","חומש שמות"
"פרשת כי-תשא","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › כי תשא","","חומש שמות"
"פרשת תצוה","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › תצוה","","חומש שמות"
"פרשת משפטים","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › משפטים","","חומש שמות"
"פרשת בשלח","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › בשלח","","חומש שמות"
"פרשת בא","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › בא","","חומש שמות"
"פרשת וארא","4","פרשת השבוע","תורה ולימוד › פרשת השבוע › שמות › וארא","","חומש שמות"
